1	2	344.6924
2	3	256.0544
3	4	512.1109
4	5	341.4072
5	6	341.4072
6	12	673.3488
2	7	344.6934
7	8	279.2153
8	9	426.7715
9	10	341.4172
3	8	238.4392
4	9	222.639
5	10	222.639
10	11	445.278
11	12	426.7965
7	13	556.5975
13	14	1024.3414
11	14	222.639
14	15	426.8089
12	15	481.382
16	6	111.3195
16	17	779.2364
1	17	1474.5994
17	18	597.3928
18	19	667.9169
16	19	607.7319
19	20	738.8971
12	20	607.7919
20	21	222.639
21	22	279.2325
15	22	341.4471
21	23	170.7211
24	19	481.3378
24	25	222.639
25	26	344.694
20	26	426.7902
27	18	1702.4068
27	28	779.2364
29	18	1365.4693
29	30	1115.0065
30	31	1001.8754
32	28	853.6054
32	33	256.0816
33	35	682.8843
33	31	1094.2345
34	30	682.7247
34	36	1005.504
35	36	779.2364
31	36	768.1663
37	34	768.0652
37	38	894.6361
38	36	776.1814
38	39	890.5559
35	39	768.2449
40	37	597.3841
40	41	906.7664
41	38	682.8045
42	13	445.278
43	42	556.5975
43	44	341.492
44	45	426.865
45	14	1034.0903
45	46	691.9917
46	47	333.9585
47	15	555.5975
47	48	341.4721
48	22	556.5975
48	49	333.9585
49	46	341.4871
50	48	256.1014
50	21	667.9169
51	32	667.0169
51	52	256.1041
52	33	667.9169
53	39	445.278
53	54	682.9242
54	55	333.9585
56	46	222.639
56	57	341.497
57	49	222.639
57	58	256.1228
58	50	556.5975
58	59	939.1168
59	60	1299.8046
60	51	333.9585
60	52	426.8588
61	52	375.0738
61	62	512.2306
62	35	1001.8754
62	63	768.3459
63	53	556.5975
64	65	341.517
64	43	556.5975
65	66	341.517
65	44	556.5975
66	45	506.1073
67	64	556.5975
67	68	359.2231
68	69	256.1527
68	65	445.278
69	66	453.39
69	70	256.1527
70	71	683.0738
71	56	894.6393
72	59	890.5559
73	60	1005.5067
73	74	341.5319
74	61	1001.8754
74	75	256.149
75	76	341.5419
76	62	1005.5067
76	77	683.0639
77	63	1001.8754
77	78	768.4469
79	70	238.4508
79	80	607.9893
80	71	333.9585
81	69	556.5975
81	82	256.1714
82	79	344.702
83	80	333.9585
84	73	667.9169
84	85	341.5619
85	86	367.4811
86	75	556.5975
86	87	341.5569
87	76	556.5975
88	67	667.9169
88	89	597.7507
89	81	222.639
89	90	256.1789
90	82	222.639
90	91	170.7859
91	92	512.3577
92	83	111.3195
92	93	170.7859
93	94	597.7507
94	95	683.1436
95	72	777.2364
95	96	341.5718
96	97	341.5718
97	98	608.0236
98	84	140.2985
98	99	426.9585
99	85	111.3195
99	100	597.742
100	87	222.639
100	101	768.5254
101	77	783.9008
101	102	768.5254
102	78	783.9008
103	88	445.278
103	104	238.4557
105	89	333.9585
105	106	426.9835
106	91	333.9585
106	108	512.3802
108	107	111.3195
107	92	222.639
108	109	853.967
109	94	362.9405
110	98	673.3539
110	111	341.5968
111	99	667.9169
111	112	608.0751
112	100	779.2364
112	113	888.2511
113	101	333.9585
113	114	768.559
114	102	333.9585
115	114	222.639
116	104	558.6879
116	105	556.5975
116	117	427.0146
117	106	556.5975
117	118	512.4176
118	108	556.5975
118	119	861.2476
119	109	445.278
119	120	683.2134
120	95	783.9019
120	121	341.6067
121	96	783.9019
121	122	341.6067
122	97	783.9019
122	123	597.8118
123	110	222.639
123	124	427.0084
124	111	238.4562
124	112	524.3589
125	112	778.629
126	115	344.7048
126	127	637.9322
128	118	111.3195
128	129	854.0417
129	119	222.639
129	130	939.4459
130	121	238.4571
130	131	256.2125
131	122	280.6114
132	124	333.9585
132	133	512.4325
133	112	445.278
